Maksimum,Delez_kosev_z_maksimalnim_stevilom_zog,Casovna_zahtevnost
4,3e-05,0.4946606159210205
4,5e-05,0.48625659942626953
4,1e-05,0.551039457321167
4,2e-05,0.4955599308013916
4,2e-05,0.4844396114349365
4,6e-05,0.48775815963745117
3,0.00674,0.4791443347930908
4,1e-05,0.5039494037628174
4,2e-05,0.5224161148071289
4,6e-05,0.5126984119415283
