Maksimum,Delez_kosev_z_maksimalnim_stevilom_zog,Casovna_zahtevnost

6.13,0.11565874999999996,18.534080982208252

6.09,0.12072500000000007,18.09243869781494

6.12,0.11763124999999997,18.21835231781006

6.06,0.12552375000000007,18.289103269577026

6.11,0.1187525,17.863486528396606

6.07,0.12325375000000006,18.732171058654785

6.08,0.12242624999999997,18.264063358306885

6.08,0.12231375,17.954679250717163

6.11,0.11854624999999999,17.94106364250183

6.04,0.12819250000000001,17.96916174888611

6.09,0.1209125,17.954411029815674

6.1,0.12011499999999999,18.146981716156006

6.11,0.11844750000000002,18.05540132522583

6.08,0.12219625,18.009818077087402

6.11,0.1190525,18.03982424736023

6.05,0.12610000000000002,17.858911514282227

6.08,0.12228750000000005,18.050827026367188

6.13,0.11554000000000009,17.921621322631836

6.0,0.13252375,18.004961252212524

6.08,0.12218500000000003,17.942177295684814

6.1,0.12042749999999995,17.85772728919983

6.09,0.12125625000000008,17.84248185157776

6.06,0.12469374999999999,17.89531421661377

6.07,0.12370625000000005,18.132692098617554

6.06,0.12553999999999998,17.85228443145752

6.03,0.12907874999999996,17.793127059936523

6.05,0.12695125,17.743443965911865

6.04,0.12794125,17.94614601135254

6.06,0.12499749999999997,17.855965614318848

6.09,0.12119500000000002,17.921733617782593

6.11,0.11774875000000001,18.604098081588745

6.11,0.11846875000000001,18.10589861869812

6.1,0.12025874999999996,17.950455904006958

6.08,0.12265249999999998,18.859221935272217

6.08,0.12260750000000004,18.050520181655884

6.09,0.12104874999999991,17.86668848991394

6.05,0.126125,17.84112858772278

6.1,0.1199725,18.345412492752075

6.04,0.12757125,17.918428897857666

6.07,0.12419374999999999,17.914754152297974

6.08,0.12293124999999995,18.064906358718872

6.03,0.12914750000000003,18.145771980285645

6.08,0.12184,17.84515070915222

6.11,0.11891999999999996,17.845645666122437

6.07,0.12356000000000003,17.865533351898193

6.08,0.1226125,18.034902572631836

6.05,0.12619375000000002,17.89813756942749

6.08,0.12166250000000003,17.949137687683105

6.07,0.12353625000000001,18.856160402297974

6.08,0.12254125,18.74033808708191

6.09,0.12092625000000004,18.37634563446045

6.08,0.12181375000000004,18.704954147338867

6.09,0.12165500000000003,18.086408853530884

6.09,0.12155,17.862746000289917

6.04,0.1275175000000001,17.778345823287964

6.01,0.13187250000000003,17.805795192718506

6.14,0.11495249999999993,17.816519260406494

6.08,0.12262625000000003,17.912360906600952

6.15,0.11325125000000001,18.042248964309692

6.07,0.12385125000000002,18.599101543426514

6.05,0.12689999999999996,18.384363651275635

6.07,0.12302499999999995,18.271016836166382

6.07,0.1235975,18.45120120048523

6.08,0.12265500000000003,18.1533522605896

6.06,0.12473000000000001,18.574259757995605

6.12,0.11731375000000005,18.334415674209595

6.07,0.12407999999999998,17.94495701789856

6.08,0.12305125,18.436052799224854

6.03,0.12928499999999998,17.891045093536377

6.15,0.11331625000000002,18.575154542922974

6.09,0.12163249999999998,18.74062991142273

6.11,0.11880625000000002,18.370101928710938

6.08,0.122625,18.129148960113525

6.04,0.12783625,18.548909425735474

6.05,0.12645624999999996,18.511425971984863

6.04,0.12819625,18.08874487876892

6.06,0.12482000000000001,18.06285285949707

6.09,0.12097999999999999,17.94096565246582

6.08,0.12243,17.819452047348022

6.08,0.12288000000000004,18.06733226776123

6.05,0.12620874999999995,17.810434579849243

6.07,0.12403750000000004,17.95223832130432

6.09,0.1213025000000001,17.869106769561768

6.11,0.11895250000000004,17.985409259796143

6.11,0.11848624999999995,17.976470232009888

6.13,0.11620374999999993,17.82615089416504

6.04,0.12822999999999993,18.02162218093872

6.05,0.12606875,17.814778804779053

6.14,0.11421250000000006,18.147560596466064

6.11,0.11923625000000002,18.12868022918701

6.09,0.12107499999999996,18.288214683532715

6.09,0.12089499999999999,18.07903027534485

6.1,0.12003750000000003,18.015855312347412

6.07,0.12400999999999998,17.75545883178711

6.07,0.12372125000000007,17.93083643913269

6.06,0.12526374999999998,17.940523624420166

6.09,0.12119125,18.012832403182983

6.12,0.11686874999999997,17.86630082130432

6.09,0.12153875000000001,17.961670398712158

6.05,0.12624874999999997,17.93861484527588

