Maksimum,Delez_kosev_z_maksimalnim_stevilom_zog,Casovna_zahtevnost
4.02,0.12270374999999994,11.312544822692871
4.01,0.12425750000000002,10.905206203460693
4.02,0.12258875000000004,10.966317415237427
4.05,0.11911250000000001,10.901830434799194
4.06,0.11752249999999999,10.792302131652832
4.09,0.11347749999999998,10.920353889465332
4.02,0.12353625000000004,10.891295433044434
4.05,0.11851500000000001,10.904993534088135
4.01,0.12416874999999998,11.359292984008789
4.04,0.12043875000000004,10.888800859451294
4.01,0.12405000000000006,10.909993648529053
4.02,0.12278125000000006,11.03137493133545
4.05,0.11874624999999998,10.87754201889038
4.01,0.12409125000000001,10.948188781738281
4.03,0.12136374999999999,11.437157154083252
4.04,0.12021375,11.46618366241455
4.03,0.12176499999999996,11.783170938491821
4.05,0.11900874999999997,11.957123041152954
4.04,0.12095375000000003,11.07926630973816
4.06,0.11791874999999996,10.99132251739502
4.07,0.11740375000000002,10.929516792297363
4.02,0.12313500000000004,11.305709838867188
4.04,0.12050624999999998,11.226110458374023
4.02,0.123085,11.3597731590271
4.01,0.12451250000000007,11.383360862731934
4.04,0.12055625,10.952603340148926
4.04,0.12021124999999994,10.88227915763855
4.01,0.12375499999999999,11.042981147766113
4.01,0.12413624999999998,11.001651525497437
4.02,0.12298125000000003,10.997125625610352
4.04,0.12099000000000004,10.886694431304932
4.03,0.12147625,10.863243579864502
4.02,0.12312124999999999,10.839320659637451
4.04,0.12094499999999994,10.856939554214478
4.03,0.12160375000000004,10.834335327148438
4.07,0.11697000000000006,10.984763622283936
4.05,0.1190625,10.823862314224243
4.04,0.12022874999999995,10.73211932182312
4.04,0.12012374999999997,10.824048042297363
4.03,0.12248250000000002,10.875669956207275
4.02,0.12370125000000004,10.848470211029053
4.07,0.11692999999999998,10.76352858543396
4.0,0.12582125,10.723049402236938
4.05,0.11898874999999996,10.837814569473267
4.02,0.12311499999999999,10.740315675735474
4.04,0.12087625,10.906416893005371
4.08,0.11583875000000003,10.830933332443237
4.02,0.12296875,10.775498151779175
4.03,0.12147750000000002,10.763575792312622
4.01,0.12395624999999998,11.265315532684326
4.03,0.12138875,10.944627523422241
4.02,0.12285749999999998,10.984288930892944
4.02,0.12313749999999998,11.122845888137817
4.06,0.1174775,10.933078289031982
4.04,0.12024000000000003,10.854007720947266
4.03,0.12202750000000001,11.083770036697388
4.08,0.11587000000000006,11.317936182022095
4.06,0.11794250000000003,11.085557460784912
4.04,0.11961500000000001,10.78144097328186
4.05,0.11890374999999999,10.757826805114746
4.03,0.1215925,10.783475160598755
4.06,0.11771999999999999,10.690162181854248
4.05,0.1189675,10.69071078300476
4.06,0.11801124999999997,10.762081384658813
4.03,0.12155125000000001,10.799307823181152
4.03,0.12162250000000002,10.688857316970825
4.03,0.12162500000000004,10.810739278793335
4.04,0.12059750000000002,10.7905912399292
4.01,0.12418750000000003,10.75183629989624
4.03,0.121535,10.662214517593384
4.12,0.11062875000000007,10.711352825164795
4.05,0.1193825,10.813608884811401
4.04,0.12028625000000007,10.789647817611694
4.02,0.12266875000000006,10.795039653778076
4.02,0.12296875000000006,10.744924545288086
4.05,0.11913749999999998,10.7043297290802
4.03,0.12180999999999999,10.767844438552856
4.03,0.12193875000000003,10.753520011901855
4.03,0.12202249999999998,10.822075605392456
4.05,0.11919250000000003,10.766438484191895
4.04,0.12019500000000002,10.944438934326172
4.05,0.11881374999999995,10.796751499176025
4.04,0.12038250000000007,10.932588815689087
4.04,0.12033249999999997,10.94257640838623
4.02,0.12299249999999998,10.797950506210327
4.05,0.11947750000000001,11.047162294387817
4.07,0.11642499999999995,10.818699836730957
4.02,0.12266375000000009,10.85804533958435
4.05,0.11851,10.781890869140625
4.02,0.12280374999999998,10.810409307479858
4.02,0.12273625000000005,10.833403587341309
4.02,0.1223375,10.738902807235718
4.04,0.11985124999999998,10.845365047454834
4.03,0.12211875000000007,10.676867723464966
4.03,0.12150749999999996,10.657209396362305
4.04,0.12009500000000001,10.63855266571045
4.05,0.11932500000000001,10.61070442199707
4.03,0.12105749999999993,10.65968942642212
4.04,0.11999249999999999,10.673851490020752
4.06,0.11821625000000001,10.633126497268677
